"y" "size" "center" "variance" "even" "cramer" "ratio" "PNT"
1 6 14749 4.66666666666667 FALSE FALSE 1.00040689000407 0.559951046242531
7 53 14778.5 247.5 TRUE FALSE 1.00359273318872 4.94532847294499
1 12 14811 15.1666666666667 FALSE FALSE 1.00081053698075 1.11947560308795
21 201 14917.5 3417.16666666667 TRUE TRUE 1.01356549908888 18.7387972945273
9 97 15066.5 808.5 TRUE TRUE 1.00645891596751 9.03484664229245
0 3 15116.5 1.66666666666667 TRUE FALSE 1.00019847833278 0.279342666048478
1 10 15123 11 FALSE FALSE 1.0006614631565 0.9311050060453
4 23 15139.5 50 TRUE FALSE 1.0015203595981 2.14132843825132
2 30 15166 82.6666666666667 FALSE FALSE 1.00198006732229 2.79259397131364
3 18 15190 31.6666666666667 FALSE FALSE 1.00118569264212 1.67530945383737
3 40 15219 143.5 FALSE FALSE 1.00263175208895 3.72226127236331
21 152 15315 1963.5 FALSE TRUE 1.00997440776954 14.1364651280883
0 5 15393.5 3.5 TRUE FALSE 1.00032486518095 0.464795891059339
9 88 15440 667.5 FALSE FALSE 1.00571577032996 8.17815649722365
0 6 15487 4.66666666666667 FALSE FALSE 1.00038749677086 0.557445987973324
3 35 15507.5 111 TRUE FALSE 1.00225952227243 3.25136931042152
2 22 15536 46 FALSE FALSE 1.00141706924316 2.04337465445087
3 23 15558.5 50 TRUE FALSE 1.00147938509037 2.13597526136914
0 2 15571 1 FALSE FALSE 1.00012845215157 0.185723238239689
2 11 15577.5 13 TRUE FALSE 1.00070639609556 1.02143841071506
2 29 15597.5 77.5 TRUE FALSE 1.00186100237438 2.69256465085232
11 92 15658 728.5 FALSE FALSE 1.00589290289521 8.5389125685665
16 125 15766.5 1333.5 TRUE TRUE 1.00795975547631 11.5944393305642
4 58 15858 295 FALSE FALSE 1.00366416071767 5.37698019130812
7 68 15921 402.5 FALSE FALSE 1.00428022911815 6.30175868855781
6 53 15981.5 247.5 TRUE FALSE 1.00332184268254 4.90995927515564
0 4 16010 2.5 FALSE FALSE 1.00024987506247 0.37050230492855
0 10 16017 11 FALSE FALSE 1.0006245316013 0.926220561118498
0 8 16026 7.5 FALSE FALSE 1.00049931344401 0.740937631778252
8 58 16059 295 FALSE FALSE 1.00361821584529 5.37078668861523
1 3 16089.5 1.66666666666667 TRUE FALSE 1.00018647439085 0.277750868106978
6 62 16122 336 FALSE FALSE 1.00385308557579 5.73914280065765
6 73 16189.5 462.5 TRUE FALSE 1.00451928434347 6.75478041593874
8 97 16274.5 808.5 TRUE TRUE 1.00597805990386 8.97125732226959
2 24 16335 54.1666666666667 FALSE FALSE 1.00147031795626 2.21893827960093
5 39 16366.5 136.666666666667 TRUE FALSE 1.00238575885484 3.60514202172271
5 48 16410 204.166666666667 FALSE FALSE 1.00292932991578 4.43602846470185
0 3 16435.5 1.66666666666667 TRUE FALSE 1.00018254837532 0.277212225615358
3 25 16449.5 58.5 TRUE FALSE 1.00152095881244 2.30991992796316
11 118 16521 1190 FALSE TRUE 1.00716802332645 10.8985277835855
5 56 16608 275.5 FALSE FALSE 1.00337756332931 5.16971465967322
1 13 16642.5 17.5 TRUE FALSE 1.00078143784564 1.19988386823775
4 32 16665 93.5 FALSE FALSE 1.0019220373596 2.95319265049102
4 27 16694.5 67.6666666666667 TRUE FALSE 1.00161860799712 2.49135697808902
0 12 16714 15.1666666666667 FALSE FALSE 1.00071821881733 1.10715375698146
12 157 16798.5 2093.5 TRUE TRUE 1.00938995215311 14.4785990265013
2 10 16882 11 FALSE FALSE 1.00059252236772 0.921787145485496
8 65 16919.5 368.5 TRUE FALSE 1.00384911470362 5.99041262115725
4 39 16971.5 136.666666666667 TRUE FALSE 1.00230061349693 3.59324443384048
2 27 17004.5 67.6666666666667 TRUE FALSE 1.00158907656995 2.4871893669947
6 32 17034 93.5 FALSE FALSE 1.00188036196968 2.94732030391469
13 145 17122.5 1788.5 TRUE TRUE 1.00850439882698 13.3487412501927
3 26 17208 63 FALSE FALSE 1.00151206746147 2.39248551193282
0 6 17224 4.66666666666667 FALSE FALSE 1.00034841182277 0.552064706022065
13 143 17298.5 1740 TRUE TRUE 1.00830092296976 13.1524024158434
6 44 17392 172.5 FALSE FALSE 1.00253310305124 4.04491398805203
14 108 17468 999.166666666667 FALSE TRUE 1.006201906512 9.92450627170069
0 12 17528 15.1666666666667 FALSE FALSE 1.00068485332725 1.10237914479399
2 29 17548.5 77.5 TRUE FALSE 1.00165392950838 2.6637993323975
10 94 17610 760 FALSE FALSE 1.00535216079258 8.63164680186946
2 14 17664 20 FALSE FALSE 1.00079288667384 1.28520914936553
0 4 17673 2.5 FALSE FALSE 1.00022635957218 0.367185169587174
3 37 17693.5 123.5 TRUE FALSE 1.00209335219236 3.39610829174831
4 35 17729.5 111 TRUE FALSE 1.00197606142728 3.21194132414985
